R Z Er Ez Bphi
0.000 -0.310 0.0 0.6481748691224346 -0.0
0.000 -0.309 0.0 0.6259644394624182 -0.0
0.000 -0.308 0.0 0.6029311804619769 -0.0
0.000 -0.307 0.0 0.5790202368317493 -0.0
0.000 -0.306 0.0 0.5542608249758517 -0.0
0.000 -0.305 0.0 0.5286595036788818 -0.0
0.000 -0.304 0.0 0.5021960003339018 -0.0
0.000 -0.303 0.0 0.47493351777430626 -0.0
0.000 -0.302 0.0 0.4467993131163767 -0.0
0.000 -0.301 0.0 0.41790965572343386 -0.0
0.000 -0.300 0.0 0.3881244261063477 -0.0
0.000 -0.299 0.0 0.3574328917085038 -0.0
0.000 -0.298 0.0 0.32605864745936536 -0.0
0.000 -0.297 0.0 0.29404521983853465 -0.0
0.000 -0.296 0.0 0.2613914163397212 -0.0
0.000 -0.295 0.0 0.22825464779326712 -0.0
0.000 -0.294 0.0 0.19456694134061553 -0.0
0.000 -0.293 0.0 0.160524464266549 -0.0
0.000 -0.292 0.0 0.1260663987502534 -0.0
0.000 -0.291 0.0 0.09138175703876839 -0.0
0.000 -0.290 0.0 0.05644603312782474 -0.0
0.000 -0.289 0.0 0.021410257939110628 -0.0
0.000 -0.288 0.0 -0.01369092621963581 -0.0
0.000 -0.287 0.0 -0.04876271509832215 -0.0
0.000 -0.286 0.0 -0.0837175191099133 -0.0
0.000 -0.285 0.0 -0.11851366015955733 -0.0
0.000 -0.284 0.0 -0.15302061843376225 -0.0
0.000 -0.283 0.0 -0.18723123889478516 -0.0
0.000 -0.282 0.0 -0.22099765076260774 -0.0
0.000 -0.281 0.0 -0.2543460891756204 -0.0
0.000 -0.280 0.0 -0.287114373278319 -0.0
0.000 -0.279 0.0 -0.3193519920817582 -0.0
0.000 -0.278 0.0 -0.35090511227446725 -0.0
0.000 -0.277 0.0 -0.38181249031088643 -0.0
0.000 -0.276 0.0 -0.4119805144472137 -0.0
0.000 -0.275 0.0 -0.44138354579820405 -0.0
0.000 -0.274 0.0 -0.4700209881107123 -0.0
0.000 -0.273 0.0 -0.49768951906221304 -0.0
0.000 -0.272 0.0 -0.5243998712093207 -0.0
0.000 -0.271 0.0 -0.5503106478886677 -0.0
0.000 -0.270 0.0 -0.5753008097117712 -0.0
0.000 -0.269 0.0 -0.599472912219612 -0.0
0.000 -0.268 0.0 -0.6227625600725044 -0.0
0.000 -0.267 0.0 -0.645211490990615 -0.0
0.000 -0.266 0.0 -0.666807779911039 -0.0
0.000 -0.265 0.0 -0.6875514268337766 -0.0
0.000 -0.264 0.0 -0.707484169478994 -0.0
0.000 -0.263 0.0 -0.7265583075950726 -0.0
0.000 -0.262 0.0 -0.7448573166223452 -0.0
0.000 -0.261 0.0 -0.7623275337777407 -0.0
0.000 -0.260 0.0 -0.7790405094386873 -0.0
0.000 -0.259 0.0 -0.794978356010828 -0.0
0.000 -0.258 0.0 -0.8101708861514244 -0.0
0.000 -0.257 0.0 -0.8246538750491909 -0.0
0.000 -0.256 0.0 -0.8383915475154131 -0.0
0.000 -0.255 0.0 -0.8514793040533288 -0.0
0.000 -0.254 0.0 -0.8638455942855099 -0.0
0.000 -0.253 0.0 -0.8755858187151937 -0.0
0.000 -0.252 0.0 -0.8866701646851187 -0.0
0.000 -0.251 0.0 -0.8971284448525466 -0.0
0.000 -0.250 0.0 -0.9069904718747391 -0.0
0.000 -0.249 0.0 -0.9162443206887917 -0.0
0.000 -0.248 0.0 -0.9249436540777752 -0.0
0.000 -0.247 0.0 -0.9330407717900712 -0.0
0.000 -0.246 0.0 -0.9406191492660124 -0.0
0.000 -0.245 0.0 -0.9476370487854323 -0.0
0.000 -0.244 0.0 -0.9541421705999499 -0.0
0.000 -0.243 0.0 -0.9601285521781128 -0.0
0.000 -0.242 0.0 -0.9655961935199209 -0.0
0.000 -0.241 0.0 -0.970592794876993 -0.0
0.000 -0.240 0.0 -0.9750706559977104 -0.0
0.000 -0.239 0.0 -0.9790894021965966 -0.0
0.000 -0.238 0.0 -0.9826192208163899 -0.0
0.000 -0.237 0.0 -0.9856899245143518 -0.0
0.000 -0.236 0.0 -0.9883015132904827 -0.0
0.000 -0.235 0.0 -0.9904480246133298 -0.0
0.000 -0.234 0.0 -0.9921533086087029 -0.0
0.000 -0.233 0.0 -0.9933875526193401 -0.0
0.000 -0.232 0.0 -0.9941924943654078 -0.0
0.000 -0.231 0.0 -0.9945323586581919 -0.0
0.000 -0.230 0.0 -0.9944369581549543 -0.0
0.000 -0.229 0.0 -0.9938884052613377 -0.0
0.000 -0.228 0.0 -0.9928866999773424 -0.0
0.000 -0.227 0.0 -0.9914556924287775 -0.0
0.000 -0.226 0.0 -0.9895476823640245 -0.0
0.000 -0.225 0.0 -0.9872103700347019 -0.0
0.000 -0.224 0.0 -0.9843841301262864 -0.0
0.000 -0.223 0.0 -0.9811107003589444 -0.0
0.000 -0.222 0.0 -0.9773602680754141 -0.0
0.000 -0.221 0.0 -0.9731328332756956 -0.0
0.000 -0.220 0.0 -0.968434358491241 -0.0
0.000 -0.219 0.0 -0.9632231060018842 -0.0
0.000 -0.218 0.0 -0.9575408135277914 -0.0
0.000 -0.217 0.0 -0.9513099681600821 -0.0
0.000 -0.216 0.0 -0.9445842326818275 -0.0
0.000 -0.215 0.0 -0.9373159068414086 -0.0
0.000 -0.214 0.0 -0.9295049906388256 -0.0
0.000 -0.213 0.0 -0.9211455215426262 -0.0
0.000 -0.212 0.0 -0.9121957618326437 -0.0
0.000 -0.211 0.0 -0.9026914866975924 -0.0
0.000 -0.210 0.0 -0.8925432581656868 -0.0
0.000 -0.209 0.0 -0.8818107015514507 -0.0
0.000 -0.208 0.0 -0.8704341915403604 -0.0
0.000 -0.207 0.0 -0.8584077656009635 -0.0
0.000 -0.206 0.0 -0.8457254612018078 -0.0
0.000 -0.205 0.0 -0.8323395780912745 -0.0
0.000 -0.204 0.0 -0.8182918539895297 -0.0
0.000 -0.203 0.0 -0.8034749633304316 -0.0
0.000 -0.202 0.0 -0.7879544939599556 -0.0
0.000 -0.201 0.0 -0.7716529329692214 -0.0
0.000 -0.200 0.0 -0.7546000930154907 -0.0
0.000 -0.199 0.0 -0.7367601989100493 -0.0
0.000 -0.198 0.0 -0.7181034379956355 -0.0
0.000 -0.197 0.0 -0.6986536603980587 -0.0
0.000 -0.196 0.0 -0.6783393157398905 -0.0
0.000 -0.195 0.0 -0.6572200293356547 -0.0
0.000 -0.194 0.0 -0.6352123257450183 -0.0
0.000 -0.193 0.0 -0.6123817928139571 -0.0
0.000 -0.192 0.0 -0.5886753640125452 -0.0
0.000 -0.191 0.0 -0.564114504454011 -0.0
0.000 -0.190 0.0 -0.5387087541886784 -0.0
0.000 -0.189 0.0 -0.5124336668375926 -0.0
0.000 -0.188 0.0 -0.48535602275302003 -0.0
0.000 -0.187 0.0 -0.4573995015323706 -0.0
0.000 -0.186 0.0 -0.42867500626065796 -0.0
0.000 -0.185 0.0 -0.3990537462585115 -0.0
0.000 -0.184 0.0 -0.36851067889383116 -0.0
0.000 -0.183 0.0 -0.33726582157720886 -0.0
0.000 -0.182 0.0 -0.30536747081340854 -0.0
0.000 -0.181 0.0 -0.27280966407097795 -0.0
0.000 -0.180 0.0 -0.23975338969913065 -0.0
0.000 -0.179 0.0 -0.2061276935735836 -0.0
0.000 -0.178 0.0 -0.17212218419452163 -0.0
0.000 -0.177 0.0 -0.1376820062725831 -0.0
0.000 -0.176 0.0 -0.10298961327021001 -0.0
0.000 -0.175 0.0 -0.06802592508675483 -0.0
0.000 -0.174 0.0 -0.03293744112000191 -0.0
