R Z Br Bz
0.000000000000000000e+00 -2.199999999999999178e-02 0.000000000000000000e+00 8.253461885473245552e-01
0.000000000000000000e+00 -2.099999999999999090e-02 0.000000000000000000e+00 8.330997637978808656e-01
0.000000000000000000e+00 -1.999999999999999001e-02 0.000000000000000000e+00 8.405309524994543091e-01
0.000000000000000000e+00 -1.899999999999998912e-02 0.000000000000000000e+00 8.476327602815645346e-01
0.000000000000000000e+00 -1.799999999999998823e-02 0.000000000000000000e+00 8.543981927632512408e-01
0.000000000000000000e+00 -1.699999999999998734e-02 0.000000000000000000e+00 8.608208077329343455e-01
0.000000000000000000e+00 -1.599999999999998646e-02 0.000000000000000000e+00 8.668963714440298673e-01
0.000000000000000000e+00 -1.499999999999998557e-02 0.000000000000000000e+00 8.726212023444668286e-01
0.000000000000000000e+00 -1.399999999999998468e-02 0.000000000000000000e+00 8.779916188276446487e-01
0.000000000000000000e+00 -1.299999999999998379e-02 0.000000000000000000e+00 8.830039393367999923e-01
0.000000000000000000e+00 -1.199999999999998290e-02 0.000000000000000000e+00 8.876544822660034084e-01
0.000000000000000000e+00 -1.099999999999998201e-02 0.000000000000000000e+00 8.919399899479839577e-01
0.000000000000000000e+00 -9.999999999999981126e-03 0.000000000000000000e+00 8.958589001909449401e-01
0.000000000000000000e+00 -8.999999999999980238e-03 0.000000000000000000e+00 8.994100746965275617e-01
0.000000000000000000e+00 -7.999999999999979350e-03 0.000000000000000000e+00 9.025923751765506653e-01
0.000000000000000000e+00 -6.999999999999978462e-03 0.000000000000000000e+00 9.054046633418035839e-01
0.000000000000000000e+00 -5.999999999999977573e-03 0.000000000000000000e+00 9.078458009031592502e-01
0.000000000000000000e+00 -4.999999999999976685e-03 0.000000000000000000e+00 9.099146406615318261e-01
0.000000000000000000e+00 -3.999999999999975797e-03 0.000000000000000000e+00 9.116099998913583802e-01
0.000000000000000000e+00 -2.999999999999974909e-03 0.000000000000000000e+00 9.129306869465558805e-01
0.000000000000000000e+00 -1.999999999999974021e-03 0.000000000000000000e+00 9.138755101956984594e-01
0.000000000000000000e+00 -9.999999999999731326e-04 0.000000000000000000e+00 9.144432780120889115e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.146327987525217917e-01
0.000000000000000000e+00 1.000000000000000888e-03 0.000000000000000000e+00 9.144432780120889115e-01
0.000000000000000000e+00 2.000000000000001776e-03 0.000000000000000000e+00 9.138755101956984594e-01
0.000000000000000000e+00 3.000000000000002665e-03 0.000000000000000000e+00 9.129306869465557694e-01
0.000000000000000000e+00 4.000000000000003553e-03 0.000000000000000000e+00 9.116099998913583802e-01
0.000000000000000000e+00 5.000000000000004441e-03 0.000000000000000000e+00 9.099146406615318261e-01
0.000000000000000000e+00 6.000000000000005329e-03 0.000000000000000000e+00 9.078458009031592502e-01
0.000000000000000000e+00 7.000000000000006217e-03 0.000000000000000000e+00 9.054046633418034729e-01
0.000000000000000000e+00 8.000000000000007105e-03 0.000000000000000000e+00 9.025923751765505543e-01
0.000000000000000000e+00 9.000000000000007994e-03 0.000000000000000000e+00 8.994100746965274507e-01
0.000000000000000000e+00 1.000000000000000888e-02 0.000000000000000000e+00 8.958589001909448291e-01
0.000000000000000000e+00 1.100000000000000977e-02 0.000000000000000000e+00 8.919399899479838467e-01
0.000000000000000000e+00 1.200000000000001066e-02 0.000000000000000000e+00 8.876544822660032974e-01
0.000000000000000000e+00 1.300000000000001155e-02 0.000000000000000000e+00 8.830039393367998812e-01
0.000000000000000000e+00 1.400000000000001243e-02 0.000000000000000000e+00 8.779916188276445377e-01
0.000000000000000000e+00 1.500000000000001332e-02 0.000000000000000000e+00 8.726212023444666066e-01
0.000000000000000000e+00 1.600000000000001421e-02 0.000000000000000000e+00 8.668963714440295343e-01
0.000000000000000000e+00 1.700000000000001510e-02 0.000000000000000000e+00 8.608208077329341235e-01
0.000000000000000000e+00 1.800000000000001599e-02 0.000000000000000000e+00 8.543981927632510187e-01
0.000000000000000000e+00 1.900000000000001688e-02 0.000000000000000000e+00 8.476327602815643125e-01
0.000000000000000000e+00 2.000000000000001776e-02 0.000000000000000000e+00 8.405309524994541981e-01
0.000000000000000000e+00 2.100000000000001865e-02 0.000000000000000000e+00 8.330997637978806436e-01
0.000000000000000000e+00 2.200000000000001954e-02 0.000000000000000000e+00 8.253461885473243331e-01
0.000000000000000000e+00 2.300000000000002043e-02 0.000000000000000000e+00 8.172772211194040404e-01
0.000000000000000000e+00 2.400000000000002132e-02 0.000000000000000000e+00 8.088998558744148193e-01
0.000000000000000000e+00 2.500000000000002220e-02 0.000000000000000000e+00 8.002218325978807112e-01
0.000000000000000000e+00 2.600000000000002309e-02 0.000000000000000000e+00 7.912538725250182203e-01
0.000000000000000000e+00 2.700000000000002398e-02 0.000000000000000000e+00 7.820074423167893141e-01
0.000000000000000000e+00 2.800000000000002487e-02 0.000000000000000000e+00 7.724940086227183311e-01
0.000000000000000000e+00 2.900000000000002576e-02 0.000000000000000000e+00 7.627250380917042216e-01
0.000000000000000000e+00 3.000000000000002665e-02 0.000000000000000000e+00 7.527119973649147866e-01
0.000000000000000000e+00 3.100000000000002753e-02 0.000000000000000000e+00 7.424669827889215368e-01
0.000000000000000000e+00 3.200000000000002842e-02 0.000000000000000000e+00 7.320046093340452087e-01
0.000000000000000000e+00 3.300000000000002931e-02 0.000000000000000000e+00 7.213401216795534143e-01
0.000000000000000000e+00 3.400000000000003020e-02 0.000000000000000000e+00 7.104887644948999492e-01
0.000000000000000000e+00 3.500000000000003109e-02 0.000000000000000000e+00 6.994657824500932763e-01
0.000000000000000000e+00 3.600000000000003197e-02 0.000000000000000000e+00 6.882864202065500647e-01
0.000000000000000000e+00 3.700000000000003286e-02 0.000000000000000000e+00 6.769663503947707106e-01
0.000000000000000000e+00 3.800000000000003375e-02 0.000000000000000000e+00 6.655229573724290582e-01
0.000000000000000000e+00 3.900000000000003464e-02 0.000000000000000000e+00 6.539740534646110159e-01
0.000000000000000000e+00 4.000000000000003553e-02 0.000000000000000000e+00 6.423374509921186970e-01
0.000000000000000000e+00 4.100000000000003642e-02 0.000000000000000000e+00 6.306309622731599562e-01
0.000000000000000000e+00 4.200000000000003730e-02 0.000000000000000000e+00 6.188723996307791131e-01
0.000000000000000000e+00 4.300000000000003819e-02 0.000000000000000000e+00 6.070792763178386453e-01
0.000000000000000000e+00 4.400000000000003908e-02 0.000000000000000000e+00 5.952679094026248618e-01
